connective	sense	class	weight	year	freq	z_freq
although	Comparison	Contrast	0.043	1850	0.31588316	-0.211659883876187
and	Comparison	Concession	3e-04	1850	0.003110823	-0.21243472292355
and	Comparison	Contrast	0.0025	1850	0.216029375	-0.211907254255509
as	Comparison	Concession	0.0083	1850	0.5670549459	-0.211037649476631
as	Comparison	Contrast	0.0071	1850	0.4149403371	-0.211414486954341
as	Comparison	Similarity	0.0077	1850	0.4880343699	-0.211233409205311
but	Comparison	Concession	0.821	1850	3851.03214735	9.32781969550917
but	Comparison	Contrast	0.165	1850	155.54595375	0.172895608376198
by	Comparison	Concession	0.0023	1850	0.0305323459	-0.212366790871486
conversely	Comparison	Contrast	1	1850	0.3	-0.211699231641663
despite	Comparison	Concession	1	1850	9.31	-0.189378524242479
for	Comparison	Concession	0.0166	1850	2.0650163284	-0.207326710773627
however	Comparison	Concession	0.8045	1850	305.41029157	0.544158431245523
however	Comparison	Contrast	0.1945	1850	17.85133837	-0.168218844491737
if	Comparison	Concession+SpeechAct	8e-04	1850	0.0016795328	-0.212438268695998
if	Comparison	Concession	0.0078	1850	0.1596605868	-0.212046898120976
if	Comparison	Contrast	0.0017	1850	0.0075841403	-0.212423641058227
indeed	Comparison	Concession	0.009708738	1850	0.035865775346781	-0.212353578227966
like	Comparison	Contrast	0.2	1850	1.7996	-0.207984233548897
like	Comparison	Similarity	0.6	1850	16.1964	-0.1723186663697
meanwhile	Comparison	Concession	0.01302083	1850	0.00720723101041714	-0.212424574785416
meanwhile	Comparison	Contrast	0.1223958	1850	0.636830911268276	-0.210864791662371
meanwhile	Comparison	Similarity	0.005208333	1850	0.00115315740447917	-0.212439572699459
nevertheless	Comparison	Concession	0.7272727	1850	28.8846259328265	-0.140885794176432
nevertheless	Comparison	Contrast	0.2727273	1850	4.06190163882649	-0.202379774844243
nonetheless	Comparison	Concession	0.9259259	1850	0	-0.212442429446297
nonetheless	Comparison	Contrast	0.07407407	1850	0	-0.212442429446297
nor	Comparison	Concession	0.02941176	1850	0.445449684445686	-0.211338905354447
only	Comparison	Concession	0.2857143	1850	119.916746685551	0.0846304468056677
only	Comparison	Contrast	0.1428571	1850	29.9791656859619	-0.138174262371048
or	Comparison	Concession	0.03089888	1850	3.81307239037258	-0.202996206014842
regardless	Comparison	Concession	1	1850	8.53	-0.191310838534528
similarly	Comparison	Similarity	1	1850	4.17	-0.20211197996188
still	Comparison	Concession	0.5958549	1850	259.603936397034	0.430681155902697
still	Comparison	Contrast	0.388601	1850	110.417540933999	0.0610978172712574
though	Comparison	Concession	0.9319149	1850	656.707467031303	1.41443606316909
though	Comparison	Contrast	0.06808511	1850	3.50528819498098	-0.203758687809229
whatever	Comparison	Concession	1	1850	170.05	0.20882685948058
when	Comparison	Concession	0.003724395	1850	0.0346266108642144	-0.212356648042376
when	Comparison	Contrast	0.001396648	1850	0.00486936628116351	-0.21243036643853
whereas	Comparison	Contrast	1	1850	17.84	-0.168246933330711
whether	Comparison	Concession	1	1850	287.61	0.500061305856608
while	Comparison	Concession	0.2752179	1850	72.0621758080125	-0.0339209265873439
while	Comparison	Contrast	0.2970112	1850	83.9266078802051	-0.00452886035638935
while	Comparison	Similarity	0.00124533	1850	0.00147544463705128	-0.212438774288913
with	Comparison	Concession	0.006734	1850	0.37133007392208	-0.211522523793852
with	Comparison	Contrast	0.003367003	1850	0.0928326839083071	-0.212212452623367
without	Comparison	Concession	0.06397306	1850	3.66983266777228	-0.203351057506085
yet	Comparison	Concession	0.9411765	1850	782.102194210105	1.7250796830091
yet	Comparison	Contrast	0.03921569	1850	1.35781648251412	-0.209078675349961
asif	Comparison	Concession	0.25	1850	23.74	-0.153630709839569
asif	Comparison	Similarity	0.625	1850	148.375	0.155130818095751
asthough	Comparison	Similarity	0.4	1850	8.5152	-0.191347502959557
aswell	Comparison	Similarity	0.3333333	1850	29.5444385355559	-0.13925122325037
butthen	Comparison	Concession	1	1850	24.73	-0.151178157084276
bycomparison	Comparison	Contrast	1	1850	1.94	-0.207636416976329
bycontrast	Comparison	Contrast	1	1850	1.45	-0.208850306723898
evenas	Comparison	Concession	0.5769231	1850	7.00295914011835	-0.195093816583365
evenif	Comparison	Concession	1	1850	36.1	-0.123010960288636
evenso	Comparison	Concession	1	1850	10.82	-0.185637761959153
eventhough	Comparison	Concession	1	1850	12.58	-0.181277668171965
evenwhen	Comparison	Concession	0.785714	1850	12.5815214620425	-0.181273899014466
evenwith	Comparison	Concession	1	1850	11.55	-0.183829313967876
ifonly	Comparison	Concession	0.8333333	1850	4.36805520611112	-0.201621332647286
incontrast	Comparison	Contrast	1	1850	3.14	-0.204663625757791
infact	Comparison	Concession	0.04705882	1850	0.187216580914049	-0.211978632939876
infact	Comparison	Contrast	0.08235294	1850	0.57335084867045	-0.211022052472907
nomatter	Comparison	Concession	1	1850	31.87	-0.13349004933398
regardlessof	Comparison	Concession	1	1850	7.5	-0.19386248433044
asmuchas	Comparison	Concession	0.5	1850	11.2925	-0.184467225416854
butthenagain	Comparison	Concession	1	1850	0.36	-0.211550592080736
inanycase	Comparison	Concession	1	1850	3.75	-0.203152456888368
intheend	Comparison	Concession	0.07692308	1850	0.0955621378224854	-0.212205690876178
intheend	Comparison	Contrast	0.07692308	1850	0.0955621378224854	-0.212205690876178
inthemeantime	Comparison	Contrast	0.0357142	1850	0.0151912536123324	-0.212404795758516
onthecontrary	Comparison	Contrast	1	1850	36.59	-0.121797070541067
ontheotherhand	Comparison	Concession	0.1111111	1850	0.472592498074079	-0.211271663756113
ontheotherhand	Comparison	Contrast	0.8888889	1850	30.2459266820741	-0.137513408415472
albeit	Comparison	Concession	1	1860	3.19	-0.204539759457019
although	Comparison	Concession	0.95	1860	135.9887	0.124445914870612
although	Comparison	Contrast	0.043	1860	0.27860732	-0.211752228284367
and	Comparison	Concession	3e-04	1860	0.0030003399	-0.212434996626208
and	Comparison	Contrast	0.0025	1860	0.2083569375	-0.211926261384529
as	Comparison	Concession	0.0083	1860	0.5631337271	-0.211047363613976
as	Comparison	Contrast	0.0071	1860	0.4120709999	-0.211421595238033
as	Comparison	Similarity	0.0077	1860	0.4846595831	-0.211241769652447
but	Comparison	Concession	0.821	1860	3802.42031043	9.20739232724856
but	Comparison	Contrast	0.165	1860	153.58248675	0.168031460496625
by	Comparison	Concession	0.0023	1860	0.0288010347	-0.212371079893763
conversely	Comparison	Contrast	1	1860	0.18	-0.211996510763516
despite	Comparison	Concession	1	1860	10.39	-0.186703012145796
for	Comparison	Concession	0.0166	1860	2.0521035868	-0.207358699844324
however	Comparison	Concession	0.8045	1860	266.3893826975	0.447490918549266
however	Comparison	Contrast	0.1945	1860	15.5705525975	-0.173869094421614
if	Comparison	Concession+SpeechAct	8e-04	1860	0.0017432768	-0.212438110781328
if	Comparison	Concession	0.0078	1860	0.1657202508	-0.212031886357704
if	Comparison	Contrast	0.0017	1860	0.0078719843	-0.212422927974797
indeed	Comparison	Concession	0.009708738	1860	0.0296804608178565	-0.212368901268563
like	Comparison	Contrast	0.2	1860	1.6368	-0.208387542224212
like	Comparison	Similarity	0.6	1860	14.7312	-0.175948444447534
meanwhile	Comparison	Concession	0.01302083	1860	0.00655618967708376	-0.212426187627048
meanwhile	Comparison	Contrast	0.1223958	1860	0.579304900934939	-0.211007302344335
meanwhile	Comparison	Similarity	0.005208333	1860	0.00104899075114584	-0.212439830754219
nevertheless	Comparison	Concession	0.7272727	1860	27.3877665409587	-0.144594002889373
nevertheless	Comparison	Contrast	0.2727273	1860	3.85140572895872	-0.202901241837903
nonetheless	Comparison	Concession	0.9259259	1860	0	-0.212442429446297
nonetheless	Comparison	Contrast	0.07407407	1860	0	-0.212442429446297
nor	Comparison	Concession	0.02941176	1860	0.39935973379655	-0.211453085188241
only	Comparison	Concession	0.2857143	1860	122.358379582776	0.0906791675021348
only	Comparison	Contrast	0.1428571	1860	30.5895734829823	-0.136662083255457
or	Comparison	Concession	0.03089888	1860	3.70654241355389	-0.20326011549784
regardless	Comparison	Concession	1	1860	6.02	-0.197528926833302
similarly	Comparison	Similarity	1	1860	3.96	-0.202632218425124
still	Comparison	Concession	0.5958549	1860	256.294935060554	0.422483680806686
still	Comparison	Contrast	0.388601	1860	109.010120863286	0.0576111789154161
though	Comparison	Concession	0.9319149	1860	555.592042739867	1.16394019200889
though	Comparison	Contrast	0.06808511	1860	2.96556735900278	-0.205095752277277
whatever	Comparison	Concession	1	1860	166.56	0.200180991686667
when	Comparison	Concession	0.003724395	1860	0.0339838232507178	-0.212358240436854
when	Comparison	Contrast	0.001396648	1860	0.00477897428919572	-0.212430590368963
whereas	Comparison	Contrast	1	1860	20.55	-0.161533379828847
whether	Comparison	Concession	1	1860	298.64	0.527386211806996
while	Comparison	Concession	0.2752179	1860	67.1554216731315	-0.0460765562570899
while	Comparison	Contrast	0.2970112	1860	78.2119978836951	-0.0186858123688809
while	Comparison	Similarity	0.00124533	1860	0.00137498078077074	-0.212439023170638
with	Comparison	Concession	0.006734	1860	0.35060116481936	-0.211573876059644
with	Comparison	Contrast	0.003367003	1860	0.0876504473978847	-0.212225290712693
without	Comparison	Concession	0.06397306	1860	3.43033650098699	-0.203944367590662
yet	Comparison	Concession	0.9411765	1860	722.079491496748	1.57638388005982
yet	Comparison	Contrast	0.03921569	1860	1.25361038812827	-0.209336827818551
asif	Comparison	Concession	0.25	1860	23.580625	-0.154025533673281
asif	Comparison	Similarity	0.625	1860	147.37890625	0.152663169135051
asthough	Comparison	Similarity	0.4	1860	8.36	-0.191731983957155
aswell	Comparison	Similarity	0.3333333	1860	29.3322163557781	-0.139776966777388
butthen	Comparison	Concession	1	1860	25.68	-0.148824697369601
bycomparison	Comparison	Contrast	1	1860	0.83	-0.210386248853475
bycontrast	Comparison	Contrast	1	1860	1.36	-0.209073266065288
evenas	Comparison	Concession	0.5769231	1860	5.36538504461539	-0.199150621492377
evenif	Comparison	Concession	1	1860	42.16	-0.107998364635023
evenso	Comparison	Concession	1	1860	6.44	-0.196488449906814
eventhough	Comparison	Concession	1	1860	13.05	-0.180113324944705
evenwhen	Comparison	Concession	0.785714	1860	10.643053484083	-0.186076116166377
evenwith	Comparison	Concession	1	1860	11.1	-0.184944110674828
ifonly	Comparison	Concession	0.8333333	1860	6.15277728555557	-0.197199994209535
incontrast	Comparison	Contrast	1	1860	3.19	-0.204539759457019
